Variation,FeatureExtractor,FeatureName
original,firstorder,90Percentile
original,firstorder,Energy
original,firstorder,Mean
original,firstorder,Median
original,firstorder,Range
original,firstorder,RootMeanSquared
original,firstorder,TotalEnergy
original,gldm,LargeDependenceHighGrayLevelEmphasis
original,glrlm,GrayLevelNonUniformity
original,glrlm,RunLengthNonUniformity
original,glrlm,RunVariance
log-sigma-1-0-mm-3D,firstorder,10Percentile
log-sigma-1-0-mm-3D,firstorder,Range
log-sigma-1-0-mm-3D,glcm,ClusterProminence
log-sigma-1-0-mm-3D,glcm,Contrast
log-sigma-1-0-mm-3D,glcm,DifferenceAverage
log-sigma-1-0-mm-3D,glcm,DifferenceEntropy
log-sigma-1-0-mm-3D,glcm,DifferenceVariance
log-sigma-1-0-mm-3D,glcm,Id
log-sigma-1-0-mm-3D,glcm,Idm
log-sigma-1-0-mm-3D,glcm,Idmn
log-sigma-1-0-mm-3D,glcm,Idn
log-sigma-1-0-mm-3D,glcm,InverseVariance
log-sigma-1-0-mm-3D,gldm,LargeDependenceEmphasis
log-sigma-1-0-mm-3D,glrlm,GrayLevelNonUniformity
log-sigma-1-0-mm-3D,glrlm,LongRunEmphasis
log-sigma-1-0-mm-3D,glrlm,RunLengthNonUniformityNormalized
log-sigma-1-0-mm-3D,glrlm,RunPercentage
log-sigma-1-0-mm-3D,glrlm,RunVariance
log-sigma-1-0-mm-3D,glszm,ZoneEntropy
log-sigma-1-0-mm-3D,ngtdm,Coarseness
log-sigma-1-0-mm-3D,ngtdm,Contrast
log-sigma-1-0-mm-3D,ngtdm,Strength
log-sigma-1-5-mm-3D,firstorder,90Percentile
log-sigma-1-5-mm-3D,firstorder,Kurtosis
log-sigma-1-5-mm-3D,firstorder,Range
log-sigma-1-5-mm-3D,firstorder,Skewness
log-sigma-1-5-mm-3D,firstorder,Uniformity
log-sigma-1-5-mm-3D,firstorder,Variance
log-sigma-1-5-mm-3D,glcm,Idmn
log-sigma-1-5-mm-3D,glcm,Idn
log-sigma-1-5-mm-3D,glcm,MaximumProbability
log-sigma-1-5-mm-3D,gldm,DependenceEntropy
log-sigma-1-5-mm-3D,gldm,DependenceNonUniformity
log-sigma-1-5-mm-3D,gldm,DependenceNonUniformityNormalized
log-sigma-1-5-mm-3D,gldm,LargeDependenceEmphasis
log-sigma-1-5-mm-3D,gldm,SmallDependenceEmphasis
log-sigma-1-5-mm-3D,ngtdm,Busyness
log-sigma-1-5-mm-3D,ngtdm,Contrast
log-sigma-2-0-mm-3D,firstorder,Maximum
log-sigma-2-0-mm-3D,firstorder,RootMeanSquared
log-sigma-2-0-mm-3D,firstorder,Uniformity
log-sigma-2-0-mm-3D,firstorder,Variance
log-sigma-2-0-mm-3D,glcm,Autocorrelation
log-sigma-2-0-mm-3D,glcm,ClusterProminence
log-sigma-2-0-mm-3D,glcm,ClusterShade
log-sigma-2-0-mm-3D,glcm,ClusterTendency
log-sigma-2-0-mm-3D,glcm,Idmn
log-sigma-2-0-mm-3D,glcm,Idn
log-sigma-2-0-mm-3D,glcm,JointAverage
log-sigma-2-0-mm-3D,glcm,JointEnergy
log-sigma-2-0-mm-3D,glcm,MaximumProbability
log-sigma-2-0-mm-3D,glcm,SumAverage
log-sigma-2-0-mm-3D,glcm,SumEntropy
log-sigma-2-0-mm-3D,glcm,SumSquares
log-sigma-2-0-mm-3D,gldm,DependenceNonUniformity
log-sigma-2-0-mm-3D,gldm,GrayLevelNonUniformity
log-sigma-2-0-mm-3D,gldm,LowGrayLevelEmphasis
log-sigma-2-0-mm-3D,glszm,HighGrayLevelZoneEmphasis
log-sigma-2-0-mm-3D,ngtdm,Contrast
log-sigma-2-5-mm-3D,firstorder,Entropy
log-sigma-2-5-mm-3D,firstorder,Maximum
log-sigma-2-5-mm-3D,firstorder,Range
log-sigma-2-5-mm-3D,firstorder,Uniformity
log-sigma-2-5-mm-3D,firstorder,Variance
log-sigma-2-5-mm-3D,glcm,Autocorrelation
log-sigma-2-5-mm-3D,glcm,ClusterProminence
log-sigma-2-5-mm-3D,glcm,ClusterShade
log-sigma-2-5-mm-3D,glcm,ClusterTendency
log-sigma-2-5-mm-3D,glcm,JointAverage
log-sigma-2-5-mm-3D,glcm,MaximumProbability
log-sigma-2-5-mm-3D,glcm,SumAverage
log-sigma-2-5-mm-3D,glcm,SumSquares
log-sigma-2-5-mm-3D,gldm,GrayLevelNonUniformity
log-sigma-2-5-mm-3D,gldm,GrayLevelVariance
log-sigma-2-5-mm-3D,gldm,HighGrayLevelEmphasis
log-sigma-2-5-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis
log-sigma-2-5-mm-3D,gldm,LowGrayLevelEmphasis
log-sigma-2-5-mm-3D,glrlm,HighGrayLevelRunEmphasis
log-sigma-2-5-mm-3D,glrlm,LowGrayLevelRunEmphasis
log-sigma-2-5-mm-3D,glszm,GrayLevelNonUniformity
log-sigma-2-5-mm-3D,ngtdm,Contrast
log-sigma-3-0-mm-3D,firstorder,90Percentile
log-sigma-3-0-mm-3D,firstorder,Entropy
log-sigma-3-0-mm-3D,firstorder,Maximum
log-sigma-3-0-mm-3D,firstorder,Uniformity
log-sigma-3-0-mm-3D,firstorder,Variance
log-sigma-3-0-mm-3D,glcm,Autocorrelation
log-sigma-3-0-mm-3D,glcm,ClusterShade
log-sigma-3-0-mm-3D,glcm,ClusterTendency
log-sigma-3-0-mm-3D,glcm,Correlation
log-sigma-3-0-mm-3D,glcm,Imc1
log-sigma-3-0-mm-3D,glcm,Imc2
log-sigma-3-0-mm-3D,glcm,JointAverage
log-sigma-3-0-mm-3D,glcm,JointEnergy
log-sigma-3-0-mm-3D,glcm,JointEntropy
log-sigma-3-0-mm-3D,glcm,MCC
log-sigma-3-0-mm-3D,glcm,MaximumProbability
log-sigma-3-0-mm-3D,glcm,SumAverage
log-sigma-3-0-mm-3D,glcm,SumEntropy
log-sigma-3-0-mm-3D,glcm,SumSquares
log-sigma-3-0-mm-3D,gldm,DependenceEntropy
log-sigma-3-0-mm-3D,gldm,GrayLevelNonUniformity
log-sigma-3-0-mm-3D,gldm,GrayLevelVariance
log-sigma-3-0-mm-3D,gldm,HighGrayLevelEmphasis
log-sigma-3-0-mm-3D,gldm,LargeDependenceHighGrayLevelEmphasis
log-sigma-3-0-mm-3D,gldm,LargeDependenceLowGrayLevelEmphasis
log-sigma-3-0-mm-3D,gldm,LowGrayLevelEmphasis
log-sigma-3-0-mm-3D,glrlm,RunLengthNonUniformity
log-sigma-3-0-mm-3D,glrlm,ShortRunEmphasis
log-sigma-3-0-mm-3D,glszm,GrayLevelNonUniformity
log-sigma-3-0-mm-3D,glszm,GrayLevelNonUniformityNormalized
log-sigma-3-0-mm-3D,glszm,GrayLevelVariance
